Posting Date,Plant,Material,Material Description,Quantity,Unit,Document Number,Vendor,Cost Center,Net Value,Currency
2025-01-03,1000,MAT-2001,Office paper A4 500-sheet,200.0,RM,4500005001,Paper Co Hamburg,CC-100,2400.00,EUR
2025-01-07,2000,MAT-2002,Cleaning chemical concentrate,50.0,L,4500005002,Chem Supplies AG,CC-100,750.00,EUR
2025-01-14,3000,MAT-2001,Office paper A4 500-sheet,400.0,RM,4500005003,Office Depot,CC-300,1600.00,USD
2025-01-21,1000,MAT-1001,Diesel B7 ULSD,10000.0,L,4500005004,FuelCorp DACH,CC-100,14500.00,EUR
2025-01-28,5000,MAT-9999,Misc Office Supplies,30.0,ST,4500005005,Mumbai Stationers,CC-400,1500.00,INR
2025-02-04,1000,MAT-1003,Natural gas supply contract,15000.0,M3,4500005006,Stadtwerke Hamburg,CC-100,7500.00,EUR
2025-02-11,4000,MAT-2001,Office paper A4 500-sheet,150.0,RM,4500005007,UK Office Supply,CC-500,1200.00,GBP
2025-02-18,1000,MAT-1005,Heating oil EL,5000.0,L,4500005008,FuelCorp DACH,CC-100,6500.00,EUR
2025-03-04,3000,MAT-1001,Diesel B7 ULSD,2500.0,GAL,4500005009,Chicago Fuel Inc,CC-200,9500.00,USD
2025-03-12,1000,MAT-2002,Cleaning chemical concentrate,100.0,L,4500005010,Chem Supplies AG,CC-100,1500.00,EUR
